FIT Profiler Report
Profile stats for: [LightningModule]DownsampleCVAE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.001    0.000 replay_buffer.py:413(__getitem__)
        5    0.000    0.000    0.001    0.000 core.py:217(_load_metadata)
        5    0.000    0.000    0.001    0.000 core.py:226(_load_metadata_nosync)
       88    0.001    0.000    0.001    0.000 typing.py:1065(_get_protocol_attrs)
        5    0.000    0.000    0.001    0.000 meta.py:108(decode_array_metadata)
       13    0.000    0.000    0.001    0.000 container.py:719(__init__)
       44    0.000    0.000    0.001    0.000 typing.py:1082(_is_callable_members_only)
        5    0.000    0.000    0.001    0.000 meta.py:90(parse_metadata)
        5    0.000    0.000    0.001    0.000 util.py:54(json_loads)
       34    0.000    0.000    0.001    0.000 indexing.py:356(__iter__)
        5    0.000    0.000    0.001    0.000 compat.py:178(ensure_text)
        5    0.000    0.000    0.001    0.000 compat.py:126(ensure_contiguous_ndarray)
       12    0.000    0.000    0.001    0.000 container.py:842(update)
       17    0.000    0.000    0.001    0.000 indexing.py:328(__init__)
       48    0.000    0.000    0.001    0.000 container.py:738(__setitem__)
      374    0.000    0.000    0.001    0.000 typing.py:1149(<genexpr>)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       21    0.000    0.000    0.000    0.000 hierarchy.py:244(__iter__)
       45    0.000    0.000    0.000    0.000 util.py:309(normalize_storage_path)
        1    0.000    0.000    0.000    0.000 normalize_util.py:110(robomimic_abs_action_only_normalizer_from_stat)
       26    0.000    0.000    0.000    0.000 storage.py:101(contains_array)
  280/240    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 normalize_util.py:6(get_range_normalizer_from_stat)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:805(__len__)
       68    0.000    0.000    0.000    0.000 module.py:1711(__setattr__)
        2    0.000    0.000    0.000    0.000 hierarchy.py:294(__len__)
       14    0.000    0.000    0.000    0.000 hierarchy.py:296(<genexpr>)
       48    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       17    0.000    0.000    0.000    0.000 indexing.py:312(is_contiguous_selection)
        1    0.000    0.000    0.000    0.000 replay_buffer.py:370(episode_ends)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        5    0.000    0.000    0.000    0.000 compat.py:70(ensure_contiguous_ndarray_like)
        2    0.000    0.000    0.000    0.000 normalize_util.py:23(get_image_range_normalizer)
       50    0.000    0.000    0.000    0.000 indexing.py:314(<genexpr>)
       66    0.000    0.000    0.000    0.000 indexing.py:178(__iter__)
       36    0.000    0.000    0.000    0.000 module.py:528(register_parameter)
      422    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       17    0.000    0.000    0.000    0.000 indexing.py:229(replace_ellipsis)
        1    0.000    0.000    0.000    0.000 normalize_util.py:38(get_identity_normalizer_from_stat)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:825(__iter__)
       17    0.000    0.000    0.000    0.000 util.py:200(is_total_slice)
       88    0.000    0.000    0.000    0.000 typing.py:1084(<genexpr>)
       25    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       17    0.000    0.000    0.000    0.000 core.py:478(_cdata_shape)
     2293    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       20    0.000    0.000    0.000    0.000 module.py:428(__init__)
        7    0.000    0.000    0.000    0.000 dict_of_tensor_mixin.py:5(__init__)
       36    0.000    0.000    0.000    0.000 normalizer.py:134(to_tensor)
       34    0.000    0.000    0.000    0.000 indexing.py:36(is_integer_array)
       48    0.000    0.000    0.000    0.000 module.py:1696(__getattr__)
       33    0.000    0.000    0.000    0.000 indexing.py:165(__init__)
      124    0.000    0.000    0.000    0.000 util.py:345(<genexpr>)
      717    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       54    0.000    0.000    0.000    0.000 storage.py:789(_get_parent)
        1    0.000    0.000    0.000    0.000 normalize_util.py:131(get_other_param_info)
       22    0.000    0.000    0.000    0.000 storage.py:816(__getitem__)
        5    0.000    0.000    0.000    0.000 hierarchy.py:360(_item_path)
       34    0.000    0.000    0.000    0.000 numeric.py:1873(isscalar)
        3    0.000    0.000    0.000    0.000 storage.py:204(listdir)
       29    0.000    0.000    0.000    0.000 storage.py:842(__contains__)
      133    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
       50    0.000    0.000    0.000    0.000 util.py:214(<genexpr>)
       36    0.000    0.000    0.000    0.000 parameter.py:34(__new__)
        6    0.000    0.000    0.000    0.000 normalizer.py:51(__setitem__)
        5    0.000    0.000    0.000    0.000 __init__.py:299(loads)
     1232    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.000    0.000 pytorch_util.py:6(dict_apply)
       50    0.000    0.000    0.000    0.000 indexing.py:352(<genexpr>)
       68    0.000    0.000    0.000    0.000 parameter.py:8(__instancecheck__)
       50    0.000    0.000    0.000    0.000 core.py:483(<genexpr>)
       36    0.000    0.000    0.000    0.000 {built-in method torch.from_numpy}
        5    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       36    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        3    0.000    0.000    0.000    0.000 storage.py:109(contains_group)
       33    0.000    0.000    0.000    0.000 indexing.py:18(is_integer)
        5    0.000    0.000    0.000    0.000 storage.py:158(normalize_store_arg)
       50    0.000    0.000    0.000    0.000 indexing.py:359(<genexpr>)
      132    0.000    0.000    0.000    0.000 indexing.py:159(ceildiv)
       50    0.000    0.000    0.000    0.000 indexing.py:361(<genexpr>)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ones_like)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       50    0.000    0.000    0.000    0.000 indexing.py:360(<genexpr>)
        2    0.000    0.000    0.000    0.000 pytorch_util.py:33(dict_apply_reduce)
        5    0.000    0.000    0.000    0.000 storage.py:131(_normalize_store_arg_v2)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        3    0.000    0.000    0.000    0.000 storage.py:868(listdir)
       33    0.000    0.000    0.000    0.000 indexing.py:234(<genexpr>)
       36    0.000    0.000    0.000    0.000 {method 'flatten' of 'torch._C.TensorBase' objects}
       33    0.000    0.000    0.000    0.000 indexing.py:304(is_contiguous_slice)
       10    0.000    0.000    0.000    0.000 store.py:92(_ensure_store)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
        4    0.000    0.000    0.000    0.000 numeric.py:218(ones_like)
        8    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
       17    0.000    0.000    0.000    0.000 core.py:2131(_chunk_key)
        5    0.000    0.000    0.000    0.000 attrs.py:27(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
        5    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
       17    0.000    0.000    0.000    0.000 indexing.py:61(is_pure_fancy_indexing)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
       55    0.000    0.000    0.000    0.000 module.py:1712(remove_from)
      352    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 sampler.py:7(create_indices)
        3    0.000    0.000    0.000    0.000 numeric.py:76(zeros_like)
       66    0.000    0.000    0.000    0.000 indexing.py:300(is_slice)
       22    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       31    0.000    0.000    0.000    0.000 store.py:423(_prefix_to_array_key)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2307(any)
        1    0.000    0.000    0.000    0.000 normalize_util.py:117(get_pos_param_info)
        1    0.000    0.000    0.000    0.000 pytorch_util.py:22(dict_apply_split)
        5    0.000    0.000    0.000    0.000 meta.py:215(decode_fill_value)
        5    0.000    0.000    0.000    0.000 meta.py:191(decode_dtype)
       20    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
       48    0.000    0.000    0.000    0.000 container.py:725(_key_to_attr)
       34    0.000    0.000    0.000    0.000 indexing.py:274(ensure_tuple)
      165    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       99    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       17    0.000    0.000    0.000    0.000 indexing.py:874(pop_fields)
        1    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
       10    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       17    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(full_like)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
       17    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       88    0.000    0.000    0.000    0.000 {method 'keys' of 'mappingproxy' objects}
      141    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 normalize_util.py:151(<lambda>)
        2    0.000    0.000    0.000    0.000 normalize_util.py:148(<lambda>)
        1    0.000    0.000    0.000    0.000 copy.py:258(_reconstruct)
       93    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       51    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x600518b25380}
       33    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        5    0.000    0.000    0.000    0.000 {built-in method _codecs.decode}
       68    0.000    0.000    0.000    0.000 {function _ParameterMeta.__instancecheck__ at 0x7bb85276ad30}
       33    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
       34    0.000    0.000    0.000    0.000 core.py:359(chunk_store)
       17    0.000    0.000    0.000    0.000 indexing.py:224(check_selection_length)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       17    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
        9    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       17    0.000    0.000    0.000    0.000 core.py:428(ndim)
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 replay_buffer.py:404(keys)
       34    0.000    0.000    0.000    0.000 indexing.py:839(check_fields)
       29    0.000    0.000    0.000    0.000 store.py:312(_path_to_prefix)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       45    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       55    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:357(full_like)
       25    0.000    0.000    0.000    0.000 multiarray.py:1071(copyto)
       33    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 normalize_util.py:112(<lambda>)
        1    0.000    0.000    0.000    0.000 copyreg.py:94(__newobj__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
       32    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 store.py:447(_prefix_to_attrs_key)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 advanced.py:71(stop)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:775(keys)
        6    0.000    0.000    0.000    0.000 pytorch_util.py:39(<listcomp>)
        5    0.000    0.000    0.000    0.000 meta.py:183(_decode_dtype_descr)
       16    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        8    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        1    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        5    0.000    0.000    0.000    0.000 util.py:387(__init__)
        5    0.000    0.000    0.000    0.000 indexing.py:657(__init__)
        4    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 store.py:435(_prefix_to_group_key)
        5    0.000    0.000    0.000    0.000 hierarchy.py:223(attrs)
        5    0.000    0.000    0.000    0.000 indexing.py:813(__init__)
        8    0.000    0.000    0.000    0.000 multiarray.py:80(empty_like)
        6    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2672(_amax_dispatcher)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:3436(_std_dispatcher)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2797(_amin_dispatcher)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:3308(_mean_dispatcher)
        4    0.000    0.000    0.000    0.000 numeric.py:214(_ones_like_dispatcher)
        1    0.000    0.000    0.000    0.000 indexing.py:26(is_integer_list)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:802(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:72(_zeros_like_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2302(_any_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:353(_full_like_dispatcher)



Profile stats for: [LightningDataModule]RobomimicImageDatamodule.setup
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:71(stop)
        1    0.000    0.000    0.000    0.000 robomimic_replay_image_dataset.py:390(setup)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [Callback]TQDMProgressBar.setup
         13 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 progress_bar.py:171(setup)
        1    0.000    0.000    0.000    0.000 trainer.py:1241(is_global_zero)
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:71(stop)
        1    0.000    0.000    0.000    0.000 trainer.py:1178(lightning_module)
        2    0.000    0.000    0.000    0.000 trainer.py:1125(strategy)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 strategy.py:360(lightning_module)
        1    0.000    0.000    0.000    0.000 single_device.py:81(is_global_zero)



Profile stats for: [Callback]ModelSummary.setup
         10 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:71(stop)
        1    0.000    0.000    0.000    0.000 trainer.py:1178(lightning_module)
        1    0.000    0.000    0.000    0.000 trainer.py:1125(strategy)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 callback.py:58(setup)
        1    0.000    0.000    0.000    0.000 strategy.py:360(lightning_module)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [Callback]ModelCheckpoint{'monitor': 'val_total_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup
         886 function calls in 0.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 model_checkpoint.py:267(setup)
        1    0.000    0.000    0.001    0.001 model_checkpoint.py:650(__warn_if_dir_not_empty)
        1    0.000    0.000    0.001    0.001 cloud_io.py:105(_is_dir)
        1    0.000    0.000    0.001    0.001 cloud_io.py:83(_is_object_storage)
        3    0.000    0.000    0.001    0.000 imports.py:46(module_available)
        3    0.000    0.000    0.001    0.000 imports.py:30(package_available)
        3    0.000    0.000    0.001    0.000 util.py:73(find_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        1    0.000    0.000    0.000    0.000 cloud_io.py:60(get_filesystem)
        1    0.000    0.000    0.000    0.000 core.py:362(url_to_fs)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 registry.py:289(filesystem)
        1    0.000    0.000    0.000    0.000 model_checkpoint.py:608(__resolve_ckpt_dir)
        1    0.000    0.000    0.000    0.000 core.py:331(_un_chain)
        1    0.000    0.000    0.000    0.000 spec.py:65(__call__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       16    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 local.py:133(isdir)
        2    0.000    0.000    0.000    0.000 local.py:230(_strip_protocol)
        1    0.000    0.000    0.000    0.000 utils.py:306(tokenize)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
        3    0.000    0.000    0.000    0.000 __init__.py:103(find_spec)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 wandb.py:572(version)
        3    0.000    0.000    0.000    0.000 import_hooks.py:21(new_func)
        1    0.000    0.000    0.000    0.000 wandb_run.py:217(wrapper)
        1    0.000    0.000    0.000    0.000 enums.py:81(__eq__)
        1    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:123(__exit__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        2    0.000    0.000    0.000    0.000 local.py:280(make_path_posix)
      152    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       75    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        2    0.000    0.000    0.000    0.000 registry.py:222(get_filesystem_class)
        1    0.000    0.000    0.000    0.000 re.py:250(compile)
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 types.py:171(__get__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 re.py:289(_compile)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       29    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        6    0.000    0.000    0.000    0.000 six.py:194(find_spec)
       27    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 config.py:99(apply_config)
        3    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       18    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 core.py:541(split_protocol)
        3    0.000    0.000    0.000    0.000 six.py:190(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 spec.py:67(<genexpr>)
        1    0.000    0.000    0.000    0.000 advanced.py:71(stop)
        1    0.000    0.000    0.000    0.000 trainer.py:1241(is_global_zero)
        1    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        4    0.000    0.000    0.000    0.000 utils.py:327(stringify_path)
        1    0.000    0.000    0.000    0.000 trainer.py:1178(lightning_module)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.000    0.000 enum.py:792(value)
        2    0.000    0.000    0.000    0.000 wandb.py:549(save_dir)
        3    0.000    0.000    0.000    0.000 import_hooks.py:205(find_module)
        3    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        5    0.000    0.000    0.000    0.000 trainer.py:1590(loggers)
        3    0.000    0.000    0.000    0.000 _compat.py:45(find_spec)
        1    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        3    0.000    0.000    0.000    0.000 trainer.py:1125(strategy)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 wandb.py:560(name)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:110(<lambda>)
        3    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 wandb_run.py:795(id)
        3    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 core.py:395(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 spec.py:214(_get_kwargs_from_urls)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 single_device.py:81(is_global_zero)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 single_device.py:90(broadcast)
        1    0.000    0.000    0.000    0.000 strategy.py:360(lightning_module)



Profile stats for: [LightningModule]DownsampleCVAE.setup
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
